country,Sum of  GDP [2015],Sum of % Female SME,Sum of % Micro Female,Current Supply,Sum of Current Volume / GDP,Sum of Female_Fully Constrained,Sum of Female_Fully Constrained %,Sum of Female_Partly Constrained,Sum of Female_Partly Constrained %,Sum of Female_Unconstrained,Sum of Female_Unconstrained %,Sum of Finance gap / Current Volume,Sum of Finance Gap / GDP,incomelevel,Sum of Informal as % of Formal,Sum of Informal Potential Demand,Sum of informal2007,Sum of Male_Fully Constrained,Sum of Male_Fully Constrained %,Sum of Male_Partly Constrained,Sum of Male_Partly Constrained %,Sum of Male_Unconstrained,Sum of Male_Unconstrained %,Sum of micro % of gdp CURRENT SUPPLYl demand,Sum of micro % of gdp FINANCIAL GAP,Sum of micro % of gdp potential demand,Sum of Micro Men Gap,Sum of Micro Women Gap,Sum of Micro_Fully Constrained,Sum of Micro_Fully Constrained %,Sum of Micro_Partly Constrained,Sum of Micro_Partly Constrained %,Sum of Micro_Unconstrained,Sum of Micro_Unconstrained %,Sum of Micro: Current Volume,Sum of Micro: Finance Gap,Sum of Micro: Potential Demand,Sum of MSME Finance gap,Sum of Number of Micro - Men,Sum of Number of Micro - Women,Sum of Number of Microenterprises,Sum of Number of MSMEs,Sum of Number of SMEs,Sum of Number of SMEs - Men,Sum of Number of SMEs - Women,Sum of Potential Demand,Sum of Potential Demand / GDP,region,Sum of SME % OF GDP TO CURRENT SUPPLY,Sum of SME % OF GDP TO FINANCIAL GAP,Sum of SME % OF GDP TO POTENTIAL DEMAND,Sum of SME Men Gap,Sum of SME Women Gap,Sum of SME_Fully Constrained,Sum of SME_Fully Constrained %,Sum of SME_Partly Constrained,Sum of SME_Partly Constrained %,Sum of SME_Unconstrained,Sum of SME_Unconstrained %,Sum of SME: Current Volume,Sum of SME: Finance Gap,Sum of SME: Potential Demand,Source - Current Supply,Source - Number of Micro Enterprises,Source - Number of SMEs
Belarus,$54608961536,28.39%,33.36%,$4492537962,8.23%,$5470.690334,21.00%,4536.504618,17.42%,16042.11675,61.58%,4.10121573,33.74%,Upper middle income,76.37%,17501298945,0.433,13218.82617,24.41%,7604.050258,14.04%,33336.81187,61.55%,0.11%,2.80%,2.90%,1182528203,$345785819.1,14720.57032,22.32%,8387.548311,12.72%,42850.88137,64.97%,$57556654.78,$1528314022,$1585870677,$18424867354,43954.77705,22004.22295,65959,80209,14250,10204.91124,4045.088757,$22917405316,41.97%,Europe & Central Asia,8.12%,30.94%,39.06%,12657574181,$4238979151,3473.107589,24.37%,2429.559554,17.05%,8347.332856,58.58%,$4434981307,$16896553332,$21331534639,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Belize,$1763000064,19.95%,24.42%,$137114912.4,7.78%,$0,0.00%,749.5407495,44.73%,926.0739584,55.27%,3.376404897,26.26%,Upper middle income,72.41%,434533719.3,0.42,386.0045986,7.17%,2239.24788,41.60%,2757.061981,51.22%,1.94%,3.00%,4.94%,47300621,$5620951.247,328.0302861,5.48%,3301.521314,55.17%,2355.063784,39.35%,$34177848.57,$52921572.25,$87099420.82,$462955461.9,4523.076923,1461.538462,5984.615385,7057.929168,1073.313783,859.2375367,214.0762463,$600070374.3,34.04%,Latin America & Caribbean,5.84%,23.26%,29.10%,351616378.8,$58417510.82,59.26645581,5.52%,313.0797067,29.17%,700.9676205,65.31%,$102937063.9,$410033889.6,$512970953.5,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Benin,$8476125184,16.49%,49.16%,$113662319.6,1.34%,$2220.271301,61.42%,319.8518368,8.85%,1074.855432,29.73%,6.063622214,8.13%,Low income,96.46%,774475507.8,0.491,1689.89896,30.53%,797.2006396,14.40%,3047.887993,55.07%,0.06%,0.32%,0.38%,4880502.445,$22005916.21,3459.4913,53.67%,2114.475855,32.80%,872.1866911,13.53%,$5035909.048,$26886418.66,$31922327.71,$689205365.8,3276.923077,3169.230769,6446.153846,9149.966163,2703.812317,2258.064516,445.7478006,$802867685.3,9.47%,Sub-Saharan Africa,1.28%,7.81%,9.10%,587071564.5,$75247382.62,869.8253944,32.17%,86.26706876,3.19%,1747.719854,64.64%,$108626410.5,$662318947.1,$770945357.6,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Bhutan,$1962221696,29.88%,43.42%,$192401293.5,9.81%,$449.4475256,6.17%,807.6336416,11.09%,6023.309585,82.73%,0.474991784,4.66%,Lower middle income,38.31%,108727414.4,0.277,1551.050848,12.86%,2193.005489,18.19%,8312.83291,68.95%,0.96%,0.45%,1.41%,7096347.767,$1732853.735,1710.154117,15.41%,1388.288326,12.51%,8000.749575,72.08%,$18862442.17,$8829201.501,$27691643.67,$91389033.59,6280.092929,4819.099088,11099.19202,19337.28,8238.087982,5776.796318,2461.291664,$283790327.1,14.46%,South Asia,8.84%,4.21%,13.05%,67221359.33,$15338472.77,481.0178725,5.84%,1512.076987,18.35%,6244.993123,75.81%,$173538851.3,$82559832.09,$256098683.4,Predicted,Annual Report 2017 - Department of Cottage and Small Industr under the Ministry of Economic Affairs,Annual Report 2017 - Department of Cottage and Small Industr under the Ministry of Economic Affairs
Bolivia,$33196820480,12.46%,44.25%,$2224300904,6.70%,$29817.68549,30.81%,22519.5297,23.27%,44443.07488,45.92%,0.765667848,5.13%,Lower middle income,173.97%,6832559275,0.635,4501.198462,3.50%,21930.94448,17.04%,102238.6638,79.46%,0.00%,0.42%,0.43%,111527265.7,$29268032.13,49623.01182,22.97%,79402.68488,36.75%,87038.3033,40.28%,$1592168.264,$140795297.9,$142387466.1,$1703075687,120453.7979,95610.20209,216064,225451.0968,9387.096774,8217.008798,1170.087977,$3927376591,11.83%,Latin America & Caribbean,6.70%,4.71%,11.40%,1490211735,$72068654.42,379.0626133,4.04%,875.2117457,9.32%,8132.822415,86.64%,$2222708736,$1562280389,$3784989125,Predicted,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Bosnia and Herzegovina,$15995392000,14.51%,15.49%,$5332374105,33.34%,$698.7539767,2.81%,3596.932506,14.46%,20582.50153,82.73%,0.145280406,4.84%,Upper middle income,48.81%,2980828652,0.328,6212.726528,4.55%,21681.12604,15.89%,108522.9594,79.55%,1.55%,0.87%,2.42%,123777489.5,$15346062.26,15195.2541,10.06%,27800.14384,18.40%,108111.6021,71.55%,$247600162.4,$139123551.7,$386723714.1,$774689474.2,127706.9386,23400.06136,151107,161295,10188,8709.873346,1478.126654,$6107063579,38.18%,Europe & Central Asia,31.79%,3.97%,35.76%,577665871.8,$57900050.71,179.2310263,1.76%,1469.877428,14.43%,8538.891546,83.81%,$5084773943,$635565922.5,$5720339865,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Botswana,$14390863872,16.89%,23.53%,$1425602197,9.91%,$398.1802574,15.22%,521.5481815,19.93%,1696.85541,64.85%,1.872633796,18.55%,Upper middle income,46.84%,1918325027,0.319,824.1126973,7.83%,1580.333699,15.02%,8115.969754,77.14%,1.81%,,,,,735.3701588,12.27%,832.5312478,13.89%,4427.098593,73.85%,$260592979.3,,,$2669630855,4584.411765,1410.588235,5995,13137,7142,5936.004386,1205.995614,$4095233052,28.46%,Sub-Saharan Africa,8.10%,,,,,539.7505309,7.56%,1231.991677,17.25%,5370.257792,75.19%,$1165009218,,,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Brazil,$1774720000000,9.78%,5.30%,$200330000000,11.29%,$26729.3015,3.15%,129277.4239,15.23%,692582.3129,81.62%,2.409734368,27.20%,Upper middle income,57.73%,394329000000,0.366,1165290.113,7.83%,1830156.532,12.29%,11894416.32,79.88%,0.23%,2.55%,2.78%,44369432754,$896996011.8,822702.2824,5.34%,1074910.24,6.97%,13519646.48,87.69%,$4158616416,$45266428766,$49425045182,$482742000000,14600077.92,817181.0757,15417259,15738452,321193,289785.0375,31407.96255,$683072000000,38.49%,Latin America & Caribbean,11.05%,24.65%,35.70%,422595000000,$14880625230,28421.73555,8.85%,49859.27442,15.52%,242911.99,75.63%,$196171000000,$437476000000,$633647000000,OECD,"As of March 2017, according to SEBRAE (Serviços Brasileiro de Apoio As Micro e Pequenas Empresas)","As of March 2017, according to SEBRAE (Serviços Brasileiro de Apoio As Micro e Pequenas Empresas)"
Bulgaria,$48952958976,25.76%,28.43%,$7495751836,15.31%,$15133.98618,14.44%,14845.80896,14.16%,74833.75674,71.40%,0.864249383,13.23%,Upper middle income,48.59%,6789720489,0.327,59456.60917,22.31%,52204.79055,19.59%,154824.0484,58.10%,0.92%,4.61%,5.53%,1863185809,$393860672.7,108265.0402,31.57%,62248.80045,18.15%,172420.1594,50.28%,$452328223.9,$2257046482,$2709374706,$6478198896,245426.3436,97507.65643,342934,371299,28365,21059.10454,7305.89546,$13973950732,28.55%,Europe & Central Asia,14.39%,8.62%,23.01%,3149930465,$1071221950,2561.729959,9.03%,5184.410159,18.28%,20618.85988,72.69%,$7043423612,$4221152415,$11264576026,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Burkina Faso,$11099472896,11.04%,2.30%,$382454699.5,3.45%,$790.2735221,41.40%,445.4596247,23.34%,673.1480204,35.26%,4.20949432,14.50%,Low income,65.56%,1306272602,0.396,22869.92744,38.72%,21172.03045,35.84%,15026.16093,25.44%,0.19%,1.36%,1.54%,142701276.8,$7795825.223,33377.77322,60.50%,14840.4355,26.90%,6947.791279,12.59%,$20922193.42,$150497102,$171419295.4,$1609940885,53898.67297,1267.327027,55166,60977,5811,5169.44586,641.5541401,$1992395584,17.95%,Sub-Saharan Africa,3.26%,13.15%,16.41%,1416199676,$43244107.3,2199.800514,37.86%,1647.723586,28.36%,1963.4759,33.79%,$361532506,$1459443783,$1820976289,Predicted,"CNS, http://cns.bf/IMG/pdf/annuaire_mica_2014_vf-2.pdf",Conseil national de la statistique (http://www.cns.bf/IMG/pdf/analyse_rse2010v0final_juin2013-2.pdf)
Burundi,$3085184768,12.77%,27.33%,$227941840.1,7.39%,$35.61454263,3.63%,530.9546816,54.08%,415.1614485,42.29%,2.153926139,15.91%,Low income,65.56%,471339477,0.396,240.9311425,8.55%,805.8996247,28.61%,1770.43856,62.84%,0.61%,0.26%,0.87%,5832622.771,$2178807.964,363.9565577,10.67%,1297.364996,38.03%,1749.678446,51.30%,$18825249.28,$8011430.736,$26836680.01,$490969887.5,2478.801242,932.1987578,3411,3799,388,338.4680851,49.53191489,$718911727.6,23.30%,Sub-Saharan Africa,6.78%,15.65%,22.43%,460894148.5,$22064308.28,26.15255111,6.74%,120.5866338,31.08%,241.2608151,62.18%,$209116590.8,$482958456.8,$692075047.6,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Cambodia,$18049953792,34.51%,52.73%,$571765294.3,3.17%,$30593.62948,15.60%,30192.15078,15.40%,135265.9345,69.00%,6.487518711,20.55%,Lower middle income,85.19%,3646865807,0.46,32452.61682,18.03%,30934.39073,17.18%,116630.2777,64.79%,0.34%,8.15%,8.50%,710198130,$761553594.8,62107.79909,17.08%,54379.73513,14.95%,247150.4658,67.97%,$62264893.02,$1471751725,$1534016618,$3709338045,171876.5876,191761.4124,363638,376069,12431,8140.697647,4290.302353,$4281103339,23.72%,East Asia & Pacific,2.82%,12.40%,15.22%,1825424645,$412161674.7,2064.303173,16.61%,2291.073128,18.43%,8075.6237,64.96%,$509500401.2,$2237586320,$2747086721,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Cameroon,$29198372864,28.61%,32.13%,$1661946877,5.69%,$5105.044945,17.54%,7967.852296,27.38%,16024.70901,55.07%,5.243786295,29.85%,Lower middle income,45.77%,4749749440,0.314,11652.49781,18.23%,24364.29454,38.11%,27915.1614,43.66%,0.06%,3.18%,3.25%,846304284.8,$83541291.53,15975.98848,22.67%,26741.34637,37.94%,27759.66515,39.39%,$18249394.48,$929845576.4,$948094970.8,$8714894256,47832.58528,22644.41472,70477,93029.56,22552.56,16099.36846,6453.191535,$10376841133,35.54%,Sub-Saharan Africa,5.63%,26.66%,32.29%,7141665810,$643382869.9,2801.839513,12.42%,6835.51161,30.31%,12915.20888,57.27%,$1643697482,$7785048680,$9428746162,Predicted,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
Cape Verde,$1629760000,9.20%,11.89%,$232061311.1,14.24%,$0,0.00%,625.9560048,57.48%,462.948027,42.52%,1.25018137,17.80%,Lower middle income,50.15%,261874073.7,0.334,2149.534482,24.91%,3179.423099,36.84%,3300.892809,38.25%,3.48%,0.49%,3.97%,5382660.634,$2648038.956,1684.105803,23.24%,2620.226479,36.16%,2941.821564,40.60%,$56690633.28,$8030699.59,$64721332.87,$290118728,6384.615385,861.5384615,7246.153846,9718.754422,2472.600576,2245.235005,227.3655702,$522180039.1,32.04%,Sub-Saharan Africa,10.76%,17.31%,28.07%,280885836,$1202192.407,130.093859,5.26%,1188.355854,48.06%,1154.150863,46.68%,$175370677.8,$282088028.4,$457458706.2,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Central African Republic,$1503299968,18.44%,24.29%,$30623390.14,2.04%,$487.0315953,11.65%,1635.1487,39.13%,2056.710475,49.22%,7.932522652,16.16%,Low income,82.15%,224714755.7,0.451,2950.014369,16.26%,9535.430279,52.55%,5661.567993,31.20%,0.59%,0.32%,0.91%,3886474.706,$952968.4765,292.2803818,27.53%,526.3564696,49.58%,242.9016102,22.88%,$8897032.585,$4839443.182,$13736475.77,$242920736,803.7362637,257.8021978,1061.538462,22325.90341,21264.36495,17343.27638,3921.088572,$273544126.1,18.20%,Sub-Saharan Africa,1.45%,15.84%,17.28%,199938246.6,$38143046.13,1938.327211,9.12%,10730.08608,50.46%,8595.951661,40.42%,$21726357.55,$238081292.8,$259807650.3,Predicted,Enterprise Surveys -- rescaled,Original Gap analysis
Chad,$10888798208,7.88%,1.96%,$282238635.2,2.59%,$7.864729969,4.51%,38.79327138,22.27%,127.5718929,73.22%,4.018132652,10.42%,Low income,73.01%,1034053987,0.422,901.0535176,18.04%,1001.253848,20.04%,3093.595833,61.92%,0.62%,0.02%,0.64%,2022496.604,$150696.0389,1011.314215,25.68%,780.6385231,19.82%,2146.5088,54.50%,$67456840.17,$2173192.643,$69630032.81,$1134072276,3861.236802,77.22473605,3938.461538,5170.133093,1231.671554,1134.666396,97.00515821,$1416310911,13.01%,Sub-Saharan Africa,1.97%,10.40%,12.37%,1117705162,$14193921.24,247.4564247,20.09%,308.3190412,25.03%,675.8960883,54.88%,$214781795,$1131899083,$1346680878,FAS,Enterprise Surveys -- rescaled,Enterprise Surveys -- rescaled
Chile,$240216000000,3.15%,17.29%,$21856804104,9.10%,$6824.240408,5.86%,24868.73948,21.37%,84674.78815,72.76%,0.385848876,3.51%,High income,22.70%,6875695790,0.185,9984.785579,1.39%,75731.49025,10.55%,632000.9561,88.06%,0.18%,,,,,12720.82673,2.00%,151493.4235,23.78%,472896.7498,74.23%,$434223940.1,,,$8433423295,526946.1508,110164.8492,637111,834085,196974,190771.0812,6202.918807,$30290227399,12.61%,Latin America & Caribbean,8.92%,,,,,3140.29594,1.59%,17624.43579,8.95%,176209.2683,89.46%,$21422580164,,,FAS,MSME Country Indicators 2014 (IFC),MSME Country Indicators 2014 (IFC)
China,$10866400000000,35.29%,54.66%,$2483950000000,22.86%,$12001392.15,32.81%,1838469.228,5.03%,22734727.19,62.16%,0.761016131,17.40%,Upper middle income,13.51%,590851000000,0.119,14176653.7,37.88%,2757824.389,7.37%,20490933.34,54.75%,0.25%,0.79%,1.03%,33044814189,$52319854220,19110905.59,35.39%,3041663.229,5.63%,31847431.18,58.98%,$26869860211,$85364668409,$112235000000,$1890330000000,24483312.23,29516687.77,54000000,74000000,20000000,12942099.2,7057900.797,$4374280000000,40.25%,East Asia & Pacific,22.61%,16.61%,39.22%,669908000000,$1135060000000,7182869.257,35.91%,1316081.654,6.58%,11501049.09,57.51%,$2457080000000,$1804960000000,$4262050000000,Central Bank (2015) “Annual Statistical Report on Financial Institutions’ Loan Investment”. http://www.gov.cn/xinwen/2016-01/22/5035391/files/0525c1dba98c4c00bee8d7b56693341f.pdf,Small and Medium-sized Enterprises Promotion Plan (2016-2020) by Ministry of Industry and Information Technology in 2016,Small and Medium-sized Enterprises Promotion Plan (2016-2020) by Ministry of Industry and Information Technology in 2016
Colombia,$292080000000,9.15%,14.74%,$19080000000,6.53%,$1762.534037,0.51%,100951.5326,29.00%,245359.6662,70.49%,2.023740971,13.22%,Upper middle income,53.07%,30618788303,0.335,82075.05508,3.97%,516528.7786,24.98%,1469546.433,71.06%,0.78%,1.35%,2.12%,2800291167,$1133599271,3692.23713,0.16%,312020.1994,13.73%,1956487.563,86.11%,$2265179353,$3933890439,$6199069792,$38612977723,1937301.362,334898.6377,2272200,2416224,144024,130848.9048,13175.09521,$57692977723,19.75%,Latin America & Caribbean,5.76%,11.87%,17.63%,30394343266,$4284744018,9971.075539,6.92%,53146.29892,36.90%,80906.62554,56.18%,$16814820647,$34679087284,$51493907931,Country Source : Superintendency of Banks (Feb 2018),  http://www.dinero.com/edicion-impresa/pymes/articulo/evolucion-y-situacion-actual-de-las-mipymes-en-colombia/222395,  http://www.dinero.com/edicion-impresa/pymes/articulo/evolucion-y-situacion-actual-de-las-mipymes-en-colombia/222395
